series,genre,date_published,rate,award,english_lan
0,Young Adult,2016.0,3.94,0,1
0,Thriller,2016.0,4.21,0,1
1,Young Adult,2008.0,3.65,0,1
1,Romance,2012.0,4.23,0,1
0,Other,2019.0,4.31,0,1
0,Mystery,2006.0,3.98,0,1
1,Other,2014.0,3.3,0,1
0,Other,2012.0,4.55,0,0
0,Other,2015.0,4.18,0,1
0,Nonfiction,2013.0,4.35,0,1
1,Fiction,2013.0,3.44,5,1
0,Fiction,2012.0,3.78,5,1
0,Fiction,2003.0,3.61,0,1
1,Fiction,2005.0,3.61,0,1
1,Mystery,2013.0,4.15,0,1
0,Fiction,2012.0,3.47,3,1
0,Fiction,2006.0,3.44,1,1
0,Young Adult,2002.0,3.97,4,1
1,Fantasy,2011.0,4.09,0,1
0,Fiction,2006.0,3.86,2,1
0,Horror,2006.0,3.6,0,1
0,Fiction,2003.0,3.23,0,1
0,Fiction,2018.0,3.98,0,1
1,Fantasy,2006.0,4.03,3,1
1,Fiction,2009.0,4.01,0,0
0,Other,2015.0,4.14,0,1
0,Nonfiction,2012.0,3.97,5,1
1,Science Fiction,2012.0,3.86,0,1
0,Fiction,2011.0,3.61,5,1
1,Fiction,2010.0,4.11,0,1
1,Other,2004.0,3.8,1,1
0,Historical,2007.0,3.93,1,1
0,Young Adult,2004.0,4.11,5,1
0,Short Stories,2002.0,4.05,4,1
1,Fantasy,2014.0,4.4,1,1
1,Mystery,2007.0,4.18,3,1
1,Young Adult,2011.0,4.09,1,1
1,Young Adult,2014.0,4.18,1,1
0,Fiction,2005.0,3.92,5,1
1,Fantasy,2008.0,4.48,1,1
0,Other,2015.0,3.33,0,1
1,Young Adult,2009.0,4.17,3,1
0,Nonfiction,2012.0,3.64,0,1
1,Science Fiction,2013.0,4.24,1,1
1,Mystery,2012.0,3.4,1,1
1,Fantasy,2011.0,4.11,3,1
0,History,2006.0,4.0,2,1
0,Fiction,2011.0,3.89,5,1
1,Young Adult,2003.0,3.87,5,1
0,Fiction,2015.0,4.16,0,1
1,Science Fiction,2005.0,4.23,0,1
1,Romance,2012.0,4.11,0,1
0,Other,2015.0,4.5,0,1
0,Fantasy,2003.0,4.0,1,1
0,Other,2015.0,4.57,0,1
1,Fantasy,2010.0,3.87,5,1
1,Other,2015.0,4.19,0,1
0,Other,2015.0,4.65,0,1
1,Mystery,2007.0,3.92,0,1
1,Other,2015.0,4.09,0,1
0,Young Adult,2007.0,3.82,5,1
1,Young Adult,2012.0,4.34,5,1
1,Other,2009.0,4.22,0,1
1,Other,2015.0,4.38,0,1
1,Fiction,2005.0,4.07,0,1
1,Mystery,2005.0,4.17,4,1
1,Other,2015.0,4.25,0,1
0,Fiction,2011.0,3.96,5,1
0,Fiction,2007.0,3.54,3,1
0,Fiction,2013.0,4.0,5,1
1,Historical,2003.0,4.07,2,1
0,Fiction,2006.0,4.09,5,1
0,Fiction,2008.0,4.21,0,1
0,Fiction,2005.0,3.79,5,1
1,Sequential Art,2007.0,4.33,0,1
0,Other,2013.0,3.74,0,1
0,Nonfiction,2004.0,4.18,3,1
0,Fiction,2004.0,3.99,2,1
0,Fiction,2003.0,3.88,5,1
1,Fiction,2004.0,4.0,5,1
0,Fantasy,2006.0,3.83,5,1
0,Fiction,2006.0,3.68,0,1
0,Historical,2006.0,4.07,3,1
0,Historical,2014.0,4.32,5,1
0,Nonfiction,2010.0,4.35,5,1
0,Womens Fiction,2005.0,3.8,0,0
0,Other,2012.0,3.48,0,1
0,Nonfiction,2006.0,3.89,1,1
0,Fiction,2013.0,4.01,5,1
0,Fiction,2004.0,4.2,0,1
0,Fiction,2008.0,3.78,1,1
0,Nonfiction,2007.0,3.65,5,1
